EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-04-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 116304) of station Poprad/Tatry, SLOVAKIA (STAID:    334)

 STAID,    SOUID,    DATE,   RR, Q_RR
   334,116304,19511228,   63,    0
   334,116304,19511229,   44,    0
   334,116304,19511230,   44,    0
   334,116304,19511231,    0,    0
   334,116304,19520101,   10,    0
   334,116304,19520102,    0,    0
   334,116304,19520103,   40,    0
   334,116304,19520104,   66,    0
   334,116304,19520105,   12,    0
   334,116304,19520106,    2,    0
   334,116304,19520107,    2,    0
   334,116304,19520108,    0,    0
   334,116304,19520109,    0,    0
   334,116304,19520110,    2,    0
   334,116304,19520111,   10,    0
   334,116304,19520112,    0,    0
   334,116304,19520113,    0,    0
   334,116304,19520114,    3,    0
   334,116304,19520115,    0,    0
   334,116304,19520116,    0,    0
   334,116304,19520117,    1,    0
   334,116304,19520118,   66,    0
   334,116304,19520119,  121,    0
   334,116304,19520120,   77,    0
   334,116304,19520121,    0,    0
   334,116304,19520122,    0,    0
   334,116304,19520123,    0,    0
   334,116304,19520124,    0,    0
   334,116304,19520125,    5,    0
   334,116304,19520126,   61,    0
   334,116304,19520127,   65,    0
   334,116304,19520128,    1,    0
   334,116304,19520129,    0,    0
   334,116304,19520130,    0,    0
   334,116304,19520131,    0,    0
   334,116304,19520201,   40,    0
   334,116304,19520202,   42,    0
   334,116304,19520203,    0,    0
   334,116304,19520204,    0,    0
   334,116304,19520205,    0,    0
   334,116304,19520206,    0,    0
   334,116304,19520207,    0,    0
   334,116304,19520208,    3,    0
   334,116304,19520209,    2,    0
   334,116304,19520210,    0,    0
   334,116304,19520211,    3,    0
   334,116304,19520212,   65,    0
   334,116304,19520213,    0,    0
   334,116304,19520214,  126,    0
   334,116304,19520215,   26,    0
   334,116304,19520216,   76,    0
   334,116304,19520217,   21,    0
   334,116304,19520218,   27,    0
   334,116304,19520219,   13,    0
   334,116304,19520220,    1,    0
   334,116304,19520221,   21,    0
   334,116304,19520222,   25,    0
   334,116304,19520223,    0,    0
   334,116304,19520224,    4,    0
   334,116304,19520225,    5,    0
   334,116304,19520226,   13,    0
   334,116304,19520227,    3,    0
   334,116304,19520228,   37,    0
   334,116304,19520229,   17,    0
   334,116304,19520301,    6,    0
   334,116304,19520302,    2,    0
   334,116304,19520303,    0,    0
   334,116304,19520304,    2,    0
   334,116304,19520305,   22,    0
   334,116304,19520306,    0,    0
   334,116304,19520307,    4,    0
   334,116304,19520308,    0,    0
   334,116304,19520309,    0,    0
   334,116304,19520310,    0,    0
   334,116304,19520311,    0,    0
   334,116304,19520312,    0,    0
   334,116304,19520313,    4,    0
   334,116304,19520314,    1,    0
   334,116304,19520315,    0,    0
   334,116304,19520316,    0,    0
   334,116304,19520317,    0,    0
   334,116304,19520318,    0,    0
   334,116304,19520319,    0,    0
   334,116304,19520320,    0,    0
   334,116304,19520321,    0,    0
   334,116304,19520322,   17,    0
   334,116304,19520323,    0,    0
   334,116304,19520324,   14,    0
   334,116304,19520325,    0,    0
   334,116304,19520326,  120,    0
   334,116304,19520327,    8,    0
   334,116304,19520328,    4,    0
   334,116304,19520329,    2,    0
   334,116304,19520330,  190,    0
   334,116304,19520331,    1,    0
   334,116304,19520401,   91,    0
   334,116304,19520402,   53,    0
   334,116304,19520403,    0,    0
   334,116304,19520404,    0,    0
   334,116304,19520405,   23,    0
   334,116304,19520406,   15,    0
   334,116304,19520407,    0,    0
   334,116304,19520408,    0,    0
   334,116304,19520409,    0,    0
   334,116304,19520410,    4,    0
   334,116304,19520411,    0,    0
   334,116304,19520412,    0,    0
   334,116304,19520413,    0,    0
   334,116304,19520414,    0,    0
   334,116304,19520415,    0,    0
   334,116304,19520416,   14,    0
   334,116304,19520417,    0,    0
   334,116304,19520418,    0,    0
   334,116304,19520419,    0,    0
   334,116304,19520420,    0,    0
   334,116304,19520421,    0,    0
   334,116304,19520422,    0,    0
   334,116304,19520423,    0,    0
   334,116304,19520424,    0,    0
   334,116304,19520425,    6,    0
   334,116304,19520426,    0,    0
   334,116304,19520427,    0,    0
   334,116304,19520428,    0,    0
   334,116304,19520429,   18,    0
   334,116304,19520430,   17,    0
   334,116304,19520501,    0,    0
   334,116304,19520502,    0,    0
   334,116304,19520503,   42,    0
   334,116304,19520504,    0,    0
   334,116304,19520505,    3,    0
   334,116304,19520506,    1,    0
   334,116304,19520507,   67,    0
   334,116304,19520508,    0,    0
   334,116304,19520509,   16,    0
   334,116304,19520510,   10,    0
   334,116304,19520511,   43,    0
   334,116304,19520512,   16,    0
   334,116304,19520513,   23,    0
   334,116304,19520514,    0,    0
   334,116304,19520515,   23,    0
   334,116304,19520516,   26,    0
   334,116304,19520517,   14,    0
   334,116304,19520518,    0,    0
